time_days,period_near_s,period_far_s
1.4962403,431.48876,
7.4982279,431.48824,
13.494995,431.48786,
19.497922,431.48743,
25.496455,431.48694,
31.505269,431.4866,
37.499222,431.48637,
43.526933,431.48596,
49.494984,431.48569,
55.493266,431.48542,
4.4964407,,433.1897
10.539449,,433.1893
16.498627,,433.18886
22.495088,,433.18836
28.498168,,433.188
34.498999,,433.18774
40.522373,,433.1874
46.50435,,433.18703
52.4962,,433.18666
58.493183,,433.18646
